Factor Diagnose (IC + TopK Alpha)
Date Range: 20230101 ~ 20241231
Universe: prefixes=('300', '688')
Predict Days: 5 | Step: 5 | TopK: 30 | MinN: 300
Masked Factors: ['ff_hml', 'ff_mkt', 'ff_smb', 'ff_smb_cov_60']
Computed At: 2025-12-27 21:52:38

Factors Evaluated: 40 | Diagnose Days: 96

===== Year 2023 (n_days=48) =====

Top 20 (IC Mean 最大)
         factor  ic_mean    ic_ir   ic_pos  top30_alpha_5d_mean  alpha_ir 方向建议
       beta_hml  0.04031  0.25683  0.56250             -0.00426  -0.17334   冲突
       beta_smb  0.02253  0.12612  0.54167              0.00253   0.06644   趋势
      ret_lag_4  0.01104  0.08165  0.50000             -0.00049  -0.01532    弱
      ret_lag_2  0.00174  0.01149  0.50000             -0.00166  -0.05135    弱
       rsi_rate  0.00041  0.00386  0.47917              0.00025   0.01168    弱
      ret_lag_3 -0.00326 -0.02781  0.54167             -0.00860  -0.22670    弱
       beta_mkt -0.01085 -0.06374  0.50000              0.00319   0.09829    弱
      ret_lag_1 -0.01334 -0.12023  0.47917             -0.00625  -0.19865   反转
turnover_bias_5 -0.01467 -0.16985  0.45833              0.00229   0.09253   冲突
       ma5_bias -0.01599 -0.13697  0.39583             -0.00281  -0.08063   反转
     pv_corr_20 -0.02294 -0.18268  0.43750             -0.00764  -0.26515   反转
    candle_body -0.02355 -0.22169  0.45833             -0.00891  -0.32431   反转
        pv_corr -0.02482 -0.24951  0.37500             -0.00257  -0.09388   反转
          kdj_j -0.02955 -0.21566  0.41667              0.00063   0.03165   冲突
       macd_dea -0.02964 -0.20245  0.37500             -0.00437  -0.12714   反转
          vr_24 -0.03480 -0.30053  0.41667             -0.00298  -0.11573   反转
   shadow_lower -0.03572 -0.37481  0.31250             -0.00406  -0.17272   反转
         psy_12 -0.03792 -0.39193  0.41667             -0.00498  -0.19448   反转
          roc_5 -0.04126 -0.30586  0.41667             -0.00742  -0.19192   反转
      william_r -0.04257 -0.35775  0.29167              0.00201   0.09026   冲突

Bottom 20 (IC Mean 最小)
          factor  ic_mean    ic_ir   ic_pos  top30_alpha_5d_mean  alpha_ir 方向建议
 hl_ratio_smooth -0.10094 -0.67025  0.22917             -0.01687  -0.39071   反转
candle_amplitude -0.10019 -0.82563  0.18750             -0.01226  -0.45388   反转
        hl_ratio -0.10019 -0.82563  0.18750             -0.01226  -0.45388   反转
          vol_20 -0.09408 -0.62367  0.22917             -0.00556  -0.22982   反转
          mfi_14 -0.06691 -0.54281  0.25000             -0.00862  -0.30616   反转
    shadow_upper -0.06325 -0.65091  0.16667             -0.00872  -0.26693   反转
      boll_width -0.06307 -0.50282  0.25000             -0.00388  -0.15594   反转
       ret_lag_5 -0.06112 -0.50951  0.27083             -0.00936  -0.38090   反转
      boll_pct_b -0.05988 -0.47818  0.27083             -0.00280  -0.10858   反转
     ma5_10_diff -0.05800 -0.48678  0.25000             -0.01513  -0.44082   反转
          roc_10 -0.05721 -0.45117  0.33333             -0.01170  -0.32185   反转
          roc_20 -0.05697 -0.43780  0.35417             -0.01195  -0.30381   反转
       macd_hist -0.05586 -0.49954  0.33333             -0.01297  -0.40501   反转
           kdj_d -0.05328 -0.42619  0.27083             -0.00825  -0.34509   反转
 candle_body_abs -0.05320 -0.68957  0.25000             -0.00753  -0.27036   反转
          cci_14 -0.05313 -0.39311  0.37500             -0.00201  -0.07275   反转
          rsi_14 -0.05289 -0.39020  0.31250             -0.00949  -0.32018   反转
           kdj_k -0.04834 -0.37504  0.31250             -0.00345  -0.14294   反转
       ma60_bias -0.04695 -0.32898  0.37500             -0.00820  -0.20609   反转
        macd_dif -0.04423 -0.30470  0.33333             -0.00766  -0.21685   反转

===== Year 2024 (n_days=48) =====

Top 20 (IC Mean 最大)
         factor  ic_mean    ic_ir   ic_pos  top30_alpha_5d_mean  alpha_ir 方向建议
       beta_hml  0.00928  0.04791  0.50000              0.00014   0.00547    弱
       beta_smb  0.00144  0.00531  0.45833              0.00841   0.21279    弱
      ret_lag_2 -0.00014 -0.00077  0.50000             -0.00275  -0.10342    弱
       beta_mkt -0.00803 -0.04224  0.43750              0.00913   0.27855    弱
         psy_12 -0.00884 -0.06253  0.43750              0.00309   0.08981    弱
candle_body_abs -0.01478 -0.11599  0.37500             -0.00824  -0.27008   反转
turnover_bias_5 -0.01566 -0.18880  0.39583             -0.00036  -0.01472   反转
          kdj_d -0.01893 -0.10516  0.43750             -0.00481  -0.14862   反转
      ret_lag_5 -0.02667 -0.16646  0.43750              0.00026   0.00902   冲突
   shadow_lower -0.02796 -0.21700  0.33333             -0.00231  -0.06267   反转
      ret_lag_3 -0.02895 -0.15909  0.39583             -0.00254  -0.07090   反转
          kdj_k -0.03266 -0.18976  0.37500             -0.00528  -0.17211   反转
      ret_lag_4 -0.03348 -0.19050  0.41667             -0.00372  -0.10944   反转
         roc_10 -0.03442 -0.18085  0.33333             -0.01025  -0.25120   反转
       rsi_rate -0.03560 -0.24290  0.35417             -0.00551  -0.19296   反转
      ret_lag_1 -0.03758 -0.23564  0.27083             -0.00551  -0.15714   反转
          vr_24 -0.03847 -0.25310  0.41667              0.00018   0.00501   冲突
         mfi_14 -0.03862 -0.24462  0.39583             -0.00462  -0.13352   反转
   shadow_upper -0.03961 -0.30394  0.27083             -0.00481  -0.13198   反转
      william_r -0.03984 -0.24646  0.39583             -0.01030  -0.33910   反转

Bottom 20 (IC Mean 最小)
          factor  ic_mean    ic_ir   ic_pos  top30_alpha_5d_mean  alpha_ir 方向建议
       ma60_bias -0.07609 -0.40390  0.31250             -0.00957  -0.20738   反转
 hl_ratio_smooth -0.07406 -0.39409  0.25000             -0.00781  -0.15874   反转
          rsi_14 -0.06730 -0.38135  0.29167             -0.00888  -0.21017   反转
          roc_20 -0.06528 -0.35626  0.25000             -0.00834  -0.19043   反转
     ma5_10_diff -0.06354 -0.45158  0.29167             -0.00502  -0.13268   反转
        macd_dif -0.06057 -0.47709  0.33333             -0.00154  -0.04116   反转
      pv_corr_20 -0.06046 -0.49157  0.27083             -0.00243  -0.07776   反转
      boll_pct_b -0.05974 -0.32607  0.31250             -0.00793  -0.22216   反转
           roc_5 -0.05943 -0.32347  0.29167             -0.01080  -0.29220   反转
        ma5_bias -0.05597 -0.33323  0.31250             -0.01117  -0.30033   反转
          vol_20 -0.05589 -0.31378  0.37500              0.00521   0.16652   冲突
         pv_corr -0.05481 -0.37013  0.29167              0.00077   0.02140   冲突
      boll_width -0.05106 -0.28813  0.35417             -0.00290  -0.05725   反转
candle_amplitude -0.05073 -0.34361  0.27083             -0.00595  -0.14725   反转
        hl_ratio -0.05073 -0.34361  0.27083             -0.00595  -0.14725   反转
           kdj_j -0.05058 -0.33747  0.41667             -0.00592  -0.19138   反转
        macd_dea -0.04792 -0.36430  0.37500              0.00028   0.00759   冲突
          cci_14 -0.04766 -0.25850  0.37500             -0.00714  -0.20704   反转
       macd_hist -0.04714 -0.28953  0.37500             -0.00034  -0.00920   反转
     candle_body -0.04243 -0.26994  0.29167             -0.00968  -0.27889   反转

===== All (20230101~20241231, n_days=96) =====

Top 30 (IC Mean 最大)
         factor  ic_mean    ic_ir   ic_pos  top30_alpha_5d_mean  alpha_ir 方向建议
       beta_hml  0.02495  0.14195  0.53125             -0.00208  -0.08351   冲突
       beta_smb  0.01209  0.05311  0.50000              0.00544   0.14054    弱
      ret_lag_2  0.00081  0.00491  0.50000             -0.00220  -0.07463    弱
       beta_mkt -0.00946 -0.05271  0.46875              0.00613   0.18810    弱
      ret_lag_4 -0.01099 -0.06981  0.45833             -0.00209  -0.06353    弱
turnover_bias_5 -0.01516 -0.17995  0.42708              0.00098   0.04013   冲突
      ret_lag_3 -0.01597 -0.10478  0.46875             -0.00560  -0.15215   反转
       rsi_rate -0.01740 -0.13525  0.41667             -0.00260  -0.10335   反转
         psy_12 -0.02353 -0.19431  0.42708             -0.00099  -0.03252   反转
      ret_lag_1 -0.02533 -0.18500  0.37500             -0.00589  -0.17767   反转
   shadow_lower -0.03188 -0.28312  0.32292             -0.00319  -0.10410   反转
    candle_body -0.03289 -0.24637  0.37500             -0.00929  -0.29878   反转
candle_body_abs -0.03420 -0.32168  0.31250             -0.00788  -0.27136   反转
       ma5_bias -0.03577 -0.24670  0.35417             -0.00694  -0.19250   反转
          kdj_d -0.03628 -0.23435  0.35417             -0.00655  -0.23130   反转
          vr_24 -0.03661 -0.27282  0.41667             -0.00141  -0.04491   反转
       macd_dea -0.03868 -0.27868  0.37500             -0.00207  -0.05873   反转
        pv_corr -0.03966 -0.31444  0.33333             -0.00092  -0.02875   反转
          kdj_j -0.03996 -0.27910  0.41667             -0.00261  -0.10021   反转
