[12:43:36.500046] 诊断模式: 20240102~20240131 step=5 topk=10 min_n=200

诊断因子数: 29 | 诊断日数: 5 | 年份: [2024]

===== Year 2024 (n_days=5) =====

Top 10 (IC Mean 最大)
     factor  ic_mean    ic_ir   ic_pos  top10_alpha_mean  top10_alpha_ir 方向建议  当前约束  约束建议
  macd_hist  0.12386  0.66452  0.40000           0.00484         0.03317   趋势     0     1
breakout_20  0.11337  0.62620  0.40000          -0.02954        -0.28209   冲突     0     0
ma5_10_diff  0.07554  0.59530  0.40000          -0.03237        -0.29885   冲突     0     0
breakout_60  0.06512  0.45683  0.40000           0.00531         0.15030   趋势     0     1
  ret_lag_2  0.05641  0.65768  0.40000           0.00473         0.45176   趋势     0     1
   ma5_bias  0.05227  0.63325  0.40000          -0.03016        -0.20779   冲突     0     0
     roc_20  0.04819  0.28003  0.40000          -0.04956        -0.54613   冲突     1     0
candle_body  0.04386  0.40895  0.40000          -0.02414        -0.16141   冲突     0     0
      roc_5  0.04082  0.36950  0.40000          -0.05277        -0.42461   冲突     1     0
  ret_lag_1  0.03496  0.43413  0.40000          -0.02503        -0.15260   冲突     0     0

Bottom 10 (IC Mean 最小)
             factor  ic_mean    ic_ir   ic_pos  top10_alpha_mean  top10_alpha_ir 方向建议  当前约束  约束建议
             vol_20 -0.11477 -0.41683  0.20000           0.02718         0.37911   冲突     1     0
         boll_width -0.11184 -0.51541  0.20000          -0.00828        -0.07454   反转     1    -1
         pv_corr_20 -0.10644 -1.11200  0.00000          -0.00692        -0.22142   反转     0    -1
           rsi_rate -0.10421 -0.68834  0.20000          -0.01855        -0.57120   反转     0    -1
momo_sl_60_5_voladj -0.08171 -2.84365  0.00000           0.00058         0.01971   冲突     0     0
       momo_sl_60_5 -0.07618 -2.31867  0.00000          -0.05739        -0.91842   反转     0    -1
         boll_pct_b -0.07360 -0.29988  0.20000          -0.04106        -0.40848   反转     0    -1
            pv_corr -0.05132 -0.36420  0.20000           0.00379         0.07702   冲突     1     0
       momo_sl_20_5 -0.02552 -0.19213  0.20000          -0.02692        -0.53578   反转     1    -1
           hl_ratio -0.02098 -0.24355  0.20000          -0.01236        -0.13251   反转    -1    -1

===== All (20240102~20240131, n_days=5) =====

Top 10 (IC Mean 最大)
     factor  ic_mean    ic_ir   ic_pos  top10_alpha_mean  top10_alpha_ir 方向建议  当前约束  约束建议
  macd_hist  0.12386  0.66452  0.40000           0.00484         0.03317   趋势     0     1
breakout_20  0.11337  0.62620  0.40000          -0.02954        -0.28209   冲突     0     0
ma5_10_diff  0.07554  0.59530  0.40000          -0.03237        -0.29885   冲突     0     0
breakout_60  0.06512  0.45683  0.40000           0.00531         0.15030   趋势     0     1
  ret_lag_2  0.05641  0.65768  0.40000           0.00473         0.45176   趋势     0     1
   ma5_bias  0.05227  0.63325  0.40000          -0.03016        -0.20779   冲突     0     0
     roc_20  0.04819  0.28003  0.40000          -0.04956        -0.54613   冲突     1     0
candle_body  0.04386  0.40895  0.40000          -0.02414        -0.16141   冲突     0     0
      roc_5  0.04082  0.36950  0.40000          -0.05277        -0.42461   冲突     1     0
  ret_lag_1  0.03496  0.43413  0.40000          -0.02503        -0.15260   冲突     0     0

Bottom 10 (IC Mean 最小)
             factor  ic_mean    ic_ir   ic_pos  top10_alpha_mean  top10_alpha_ir 方向建议  当前约束  约束建议
             vol_20 -0.11477 -0.41683  0.20000           0.02718         0.37911   冲突     1     0
         boll_width -0.11184 -0.51541  0.20000          -0.00828        -0.07454   反转     1    -1
         pv_corr_20 -0.10644 -1.11200  0.00000          -0.00692        -0.22142   反转     0    -1
           rsi_rate -0.10421 -0.68834  0.20000          -0.01855        -0.57120   反转     0    -1
momo_sl_60_5_voladj -0.08171 -2.84365  0.00000           0.00058         0.01971   冲突     0     0
       momo_sl_60_5 -0.07618 -2.31867  0.00000          -0.05739        -0.91842   反转     0    -1
         boll_pct_b -0.07360 -0.29988  0.20000          -0.04106        -0.40848   反转     0    -1
            pv_corr -0.05132 -0.36420  0.20000           0.00379         0.07702   冲突     1     0
       momo_sl_20_5 -0.02552 -0.19213  0.20000          -0.02692        -0.53578   反转     1    -1
           hl_ratio -0.02098 -0.24355  0.20000          -0.01236        -0.13251   反转    -1    -1
